Wi1,Wi2,Wi3,Wi5,DC Gain,ft,f3,Vcm,Pdiss,Is4,Gm6,Gm4,Wi4,Asp_1,Asp_2,Asp_3,Asp_4,Asp_5,Abs_Gain,Delay
8.10E-05,1.10E-05,0.0001,6.86E-05,21.5576,7.54E+06,599022,0.8,6.04E-05,9.95E-06,4.08E-04,0.000171281,2.62E-05,1.62E+02,2.20E+01,2.00E+02,5.24E+01,1.37E+02,11.96409905,0.000488281
1.00E-06,2.10E-05,8.10E-05,6.01E-05,21.5715,7.04E+06,578417,1.6,7.07E-05,1.13E-05,3.80E-04,0.00025191,3.17E-05,2.00E+00,4.20E+01,1.62E+02,6.34E+01,1.20E+02,11.98326049,0.000488281
4.10E-05,0.0001,1.10E-05,6.69E-06,21.5977,1.15E+07,950759,1.6,6.59E-05,1.14E-05,6.24E-04,0.000552237,1.13E-04,8.20E+01,2.00E+02,2.20E+01,2.26E+02,1.34E+01,12.0194612,0.00351562
9.10E-05,1.10E-05,0.0001,6.85E-05,21.6089,7.58E+06,598638,0.8,6.04E-05,9.96E-06,4.10E-04,0.000171392,2.63E-05,1.82E+02,2.20E+01,2.00E+02,5.26E+01,1.37E+02,12.03496967,0.000488281
6.10E-05,9.10E-05,1.10E-05,7.33E-06,21.6267,1.29E+07,1.07E+06,1.6,6.85E-05,1.14E-05,6.95E-04,0.000527674,1.20E-04,1.22E+02,1.82E+02,2.20E+01,2.40E+02,1.47E+01,12.05965823,0.00450195
1.10E-05,0.0001,1.10E-05,6.69E-06,21.6297,9.67E+06,796251,1.6,6.51E-05,1.12E-05,5.22E-04,0.000548873,9.52E-05,2.20E+01,2.00E+02,2.20E+01,1.90E+02,1.34E+01,12.06382421,0.00253418
0.0001,1.10E-05,0.0001,6.84E-05,21.6503,7.61E+06,598095,0.8,6.05E-05,9.97E-06,4.11E-04,0.000171481,2.64E-05,2.00E+02,2.20E+01,2.00E+02,5.28E+01,1.37E+02,12.09246948,0.000488281
1.10E-05,2.10E-05,9.10E-05,5.78E-05,21.6825,1.37E+07,1.06E+06,1.6,6.93E-05,1.18E-05,7.38E-04,0.000257385,6.02E-05,2.20E+01,4.20E+01,1.82E+02,1.20E+02,1.16E+02,12.13738142,0.000488281
1.00E-06,1.10E-05,6.10E-05,7.34E-05,21.7313,5.29E+06,430242,0.8,7.28E-05,9.18E-06,2.86E-04,0.000164489,1.91E-05,2.00E+00,2.20E+01,1.22E+02,3.82E+01,1.47E+02,12.20576488,0.000488281
3.10E-05,0.0001,1.10E-05,6.69E-06,21.7887,1.13E+07,906555,1.6,6.57E-05,1.14E-05,6.08E-04,0.000551566,1.10E-04,6.20E+01,2.00E+02,2.20E+01,2.20E+02,1.34E+01,12.2866928,0.00253418
1.00E-06,0.0001,2.10E-05,1.28E-05,21.8172,7.06E+06,569416,1.6,6.37E-05,1.10E-05,3.81E-04,0.000543096,7.02E-05,2.00E+00,2.00E+02,4.20E+01,1.40E+02,2.56E+01,12.32707391,0.00348633
8.10E-05,7.10E-05,1.10E-05,9.35E-06,21.8322,1.62E+07,1.32E+06,1.6,7.62E-05,1.14E-05,8.77E-04,0.000466617,1.33E-04,1.62E+02,1.42E+02,2.20E+01,2.66E+02,1.87E+01,12.34838041,0.00249023
7.10E-05,8.10E-05,1.10E-05,8.22E-06,21.8352,1.45E+07,1.17E+06,1.6,7.19E-05,1.14E-05,7.84E-04,0.000498141,1.27E-04,1.42E+02,1.62E+02,2.20E+01,2.54E+02,1.64E+01,12.35264612,0.00149902
1.10E-05,0.0001,1.10E-05,6.71E-06,21.838,7.45E+06,597612,0.8,5.52E-05,9.52E-06,4.03E-04,0.000505033,7.97E-05,2.20E+01,2.00E+02,2.20E+01,1.59E+02,1.34E+01,12.35662879,0.000512695
2.10E-05,0.0001,1.10E-05,6.69E-06,21.8712,1.07E+07,858557,1.6,6.55E-05,1.13E-05,5.80E-04,0.000550596,1.05E-04,4.20E+01,2.00E+02,2.20E+01,2.10E+02,1.34E+01,12.4039498,0.00151855
2.10E-05,1.10E-05,9.10E-05,6.96E-05,21.8991,7.51E+06,578858,0.8,6.21E-05,9.78E-06,4.06E-04,0.000169817,2.63E-05,4.20E+01,2.20E+01,1.82E+02,5.26E+01,1.39E+02,12.44385666,0.000488281
3.10E-05,2.10E-05,6.10E-05,5.69E-05,21.9597,2.34E+07,1.84E+06,1.6,8.22E-05,1.18E-05,1.26E-03,0.000257865,1.03E-04,6.20E+01,4.20E+01,1.22E+02,2.06E+02,1.14E+02,12.53097894,0.000488281
5.10E-05,9.10E-05,1.10E-05,7.34E-06,21.96,1.27E+07,1.01E+06,1.6,6.84E-05,1.14E-05,6.84E-04,0.000527284,1.18E-04,1.02E+02,1.82E+02,2.20E+01,2.36E+02,1.47E+01,12.53141175,0.00150391
3.10E-05,1.10E-05,9.10E-05,6.93E-05,22.1025,7.76E+06,585552,0.8,6.23E-05,9.83E-06,4.19E-04,0.000170233,2.71E-05,6.20E+01,2.20E+01,1.82E+02,5.42E+01,1.39E+02,12.73869677,0.000488281
8.10E-05,4.10E-05,1.10E-05,1.60E-05,22.1694,2.51E+07,2.00E+06,1.6,0.000100998,1.14E-05,1.36E-03,0.000354549,1.57E-04,1.62E+02,8.20E+01,2.20E+01,3.14E+02,3.20E+01,12.83719091,0.00154297
8.10E-05,6.10E-05,1.10E-05,1.08E-05,22.199,1.86E+07,1.44E+06,1.6,8.18E-05,1.14E-05,1.00E-03,0.000432501,1.41E-04,1.62E+02,1.22E+02,2.20E+01,2.82E+02,2.16E+01,12.88101245,0.00250977
4.10E-05,1.10E-05,9.10E-05,6.90E-05,22.2344,7.91E+06,589063,0.8,6.24E-05,9.86E-06,4.27E-04,0.00017052,2.76E-05,8.20E+01,2.20E+01,1.82E+02,5.52E+01,1.38E+02,12.93361711,0.000488281
4.10E-05,9.10E-05,1.10E-05,7.34E-06,22.2549,1.25E+07,960637,1.6,6.83E-05,1.14E-05,6.73E-04,0.000526795,1.16E-04,8.20E+01,1.82E+02,2.20E+01,2.32E+02,1.47E+01,12.96417844,0.00250488
6.10E-05,8.10E-05,1.10E-05,8.22E-06,22.2712,1.44E+07,1.10E+06,1.6,7.18E-05,1.14E-05,7.77E-04,0.000497833,1.26E-04,1.22E+02,1.62E+02,2.20E+01,2.52E+02,1.64E+01,12.98852995,0.00449707
5.10E-05,1.10E-05,9.10E-05,6.88E-05,22.3331,8.05E+06,590977,0.8,6.25E-05,9.89E-06,4.35E-04,0.000170739,2.80E-05,1.02E+02,2.20E+01,1.82E+02,5.60E+01,1.38E+02,13.08142333,0.000488281
8.10E-05,3.10E-05,7.10E-05,5.63E-05,22.3647,3.02E+07,2.50E+06,1.6,7.72E-05,1.20E-05,1.63E-03,0.000315199,1.61E-04,1.62E+02,6.20E+01,1.42E+02,3.22E+02,1.13E+02,13.12910132,0.000488281
8.10E-05,5.10E-05,1.10E-05,1.29E-05,22.3753,2.14E+07,1.64E+06,1.6,8.96E-05,1.14E-05,1.16E-03,0.00039545,1.49E-04,1.62E+02,1.02E+02,2.20E+01,2.98E+02,2.58E+01,13.14513347,0.00250488
7.10E-05,7.10E-05,1.10E-05,9.35E-06,22.3932,1.61E+07,1.23E+06,1.6,7.61E-05,1.14E-05,8.70E-04,0.000466371,1.32E-04,1.42E+02,1.42E+02,2.20E+01,2.64E+02,1.87E+01,13.17225107,0.0025
6.10E-05,1.10E-05,9.10E-05,6.87E-05,22.4127,8.17E+06,591954,0.8,6.26E-05,9.91E-06,4.41E-04,0.000170916,2.84E-05,1.22E+02,2.20E+01,1.82E+02,5.68E+01,1.37E+02,13.20185626,0.000488281
1.10E-05,9.10E-05,1.10E-05,7.34E-06,22.4154,1.06E+07,793174,1.6,6.75E-05,1.12E-05,5.71E-04,0.000523589,9.92E-05,2.20E+01,1.82E+02,2.20E+01,1.98E+02,1.47E+01,13.20596068,0.0015332
1.00E-06,9.10E-05,2.10E-05,1.41E-05,22.4175,6.10E+06,461500,0.8,5.47E-05,9.11E-06,3.30E-04,0.000471267,6.37E-05,2.00E+00,1.82E+02,4.20E+01,1.27E+02,2.82E+01,13.20915389,0.000488281
2.10E-05,0.0001,1.10E-05,6.71E-06,22.4503,8.13E+06,610424,0.8,5.56E-05,9.59E-06,4.39E-04,0.00050693,8.66E-05,4.20E+01,2.00E+02,2.20E+01,1.73E+02,1.34E+01,13.25912912,0.000478516
2.10E-05,2.10E-05,7.10E-05,5.72E-05,22.4615,1.93E+07,1.41E+06,1.6,7.67E-05,1.18E-05,1.05E-03,0.000257733,8.52E-05,4.20E+01,4.20E+01,1.42E+02,1.70E+02,1.14E+02,13.2762371,0.000488281
4.10E-05,2.10E-05,5.10E-05,5.66E-05,22.4639,2.83E+07,2.21E+06,1.6,8.96E-05,1.18E-05,1.53E-03,0.000257744,1.25E-04,8.20E+01,4.20E+01,1.02E+02,2.50E+02,1.13E+02,13.27990597,0.000488281
7.10E-05,1.10E-05,9.10E-05,6.86E-05,22.4796,8.26E+06,592324,0.8,6.27E-05,9.93E-06,4.46E-04,0.000171063,2.87E-05,1.42E+02,2.20E+01,1.82E+02,5.74E+01,1.37E+02,13.3039315,0.000488281
3.10E-05,9.10E-05,1.10E-05,7.34E-06,22.4914,1.22E+07,911535,1.6,6.81E-05,1.14E-05,6.58E-04,0.000526156,1.14E-04,6.20E+01,1.82E+02,2.20E+01,2.28E+02,1.47E+01,13.32201751,0.00453125
8.10E-05,1.10E-05,9.10E-05,6.85E-05,22.5242,8.31E+06,592363,0.8,6.27E-05,9.94E-06,4.49E-04,0.000171189,2.89E-05,1.62E+02,2.20E+01,1.82E+02,5.78E+01,1.37E+02,13.37241974,0.000488281
5.10E-05,3.10E-05,9.10E-05,5.67E-05,22.5695,2.44E+07,1.80E+06,1.6,6.99E-05,1.20E-05,1.32E-03,0.000315273,1.30E-04,1.02E+02,6.20E+01,1.82E+02,2.60E+02,1.13E+02,13.44234384,0.000488281
9.10E-05,1.10E-05,9.10E-05,6.84E-05,22.5759,8.37E+06,592006,0.8,6.28E-05,9.95E-06,4.52E-04,0.000171299,2.90E-05,1.82E+02,2.20E+01,1.82E+02,5.80E+01,1.37E+02,13.45225218,0.000488281
